Employee Name,Employee ID,Currently active,Availability Date,Available Hours,Employee Country,Current Project Name,Manager,Travel Preference,Employee Email ID,Languages,CLAIM Start Date,CLAIM Discontinue Date,Billable,Primary Job Role,Primary Skill Set,Service City,Service State/Province,Staffing Reviewer Notes ID,Manager Notes ID,Hire Date Range,Client Name,Project Manager Name,Project Manager Email ID,Project Manager Serial,Project Manager Country,Skill 2,Experience,Rating,Contact,Designation
Mrs. Stephanie Shelton,00357I744,N,31-12-2018,40,India,Oracle JDE RICE TAC A17,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Application Developer,Custom Development,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D47996,United States of America,DataScience,5,1,9576152312,Jr.softwareEngineer
Christy Richardson,00714X744,Y,1/1/2020,40,India,SAP BI TAC A18,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Test Specialist,Oracle Database,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628694,India,DataScience,6,2,9873214562,Jr.softwareEngineer
Jason Hunter,00730U744,N,30-07-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Packaged Application,Oracle Application,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D49353,United States of America,DataScience,1,3,9653214895,Sr.softwareEngineer
Laura Wilson,00212T744,N,31-12-2018,40,India,Oracle JDE RICE TAC A18,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Project Manager,SAP.SCM.SD,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D50710,United States of America,DataScience,2,4,9863214567,Sr.softwareEngineer
Levi Beck,00505P744,N,1/1/2020,40,India,SAP BI TAC A19,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Technical Assistant,SAP.BASIS,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628695,India,DataScience,3,5,9654781234,Jr.softwareEngineer
Marcus Cox,00437J744,Y,2/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Application Developer,Technincal Requirement,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D52067,United States of America,DataScience,4,1,9576152312,Jr.softwareEngineer
Daniel Dickerson,00425H744,Y,3/1/2020,40,India,Oracle JDE RICE TAC A19,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Test Specialist,SAP.FIN.FI,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D53424,United States of America,DataScience,5,2,9873214562,Sr.softwareEngineer
Mr. Seth Callahan,00585V744,Y,4/1/2020,40,India,SAP BI TAC A20,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Packaged Application,SAP.BOBJ,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628696,India,DataScience,6,3,9653214895,Sr.softwareEngineer
Justin Clark,00546B744,N,5/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Project Manager,SAP.ABAP,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D54781,United States of America,DataScience,1,4,9863214567,Jr.softwareEngineer
Anthony Ramsey,00311G744,N,6/1/2020,40,India,Oracle JDE RICE TAC A20,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Technical Assistant,JDE,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D56138,United States of America,BlockChain,2,5,9654781234,Jr.softwareEngineer
Michael Caldwell,00606Z744,N,31-12-2018,40,India,SAP BI TAC A21,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Application Developer,Java.core,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628697,India,BlockChain,3,1,9576152312,Sr.softwareEngineer
Katherine Ortiz,00731E744,Y,1/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Test Specialist,Custom Application,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D57495,United States of America,BlockChain,4,2,9873214562,Sr.softwareEngineer
Robert Hill,00476R744,N,30-07-2018,40,India,Oracle JDE RICE TAC A21,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Packaged Application,SAP.ABAP,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D58852,United States of America,BlockChain,5,3,9653214895,Jr.softwareEngineer
Robert Smith,00736E744,N,31-12-2018,40,India,SAP BI TAC A22,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Project Manager,COBOL,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628698,India,BlockChain,6,4,9863214567,Jr.softwareEngineer
Jeremy Mercer,00507A744,N,1/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Technical Assistant,Application Maintenance & Support,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D60209,United States of America,BlockChain,1,5,9654781234,Sr.softwareEngineer
Jose Cook,00957Q744,Y,2/1/2020,40,India,Oracle JDE RICE TAC A22,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Application Developer,Java.Spring & Hibernate,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D61566,United States of America,BlockChain,2,1,9576152312,Sr.softwareEngineer
Jill Bond,00926O744,Y,3/1/2020,40,India,SAP BI TAC A23,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Test Specialist,c#.NET,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628699,India,BlockChain,3,2,9873214562,Jr.softwareEngineer
John Hays,00562K744,Y,4/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Packaged Application,Test Automation,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D62923,United States of America,BlockChain,4,3,9653214895,Jr.softwareEngineer
Robert Baldwin,00810W744,N,5/1/2020,40,India,Oracle JDE RICE TAC A23,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Project Manager,Oracle Database,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D64280,United States of America,BlockChain,5,4,9863214567,Sr.softwareEngineer
Terri Jensen,00200F744,Y,6/1/2020,40,India,SAP BI TAC A24,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Technical Assistant,Custom Development,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628700,India,BlockChain,6,5,9654781234,Sr.softwareEngineer
John White,00695R744,Y,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Application Developer,Oracle Database,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D65637,United States of America,BlockChain,1,1,9576152312,Jr.softwareEngineer
Mary Miranda,00834Y744,Y,1/1/2020,40,India,Oracle JDE RICE TAC A24,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Test Specialist,Oracle Application,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D66994,United States of America,BlockChain,2,2,9576152312,Jr.softwareEngineer
Andrea Brown,00580O744,Y,30-07-2018,40,India,SAP BI TAC A25,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Packaged Application,SAP.SCM.SD,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628701,India,BlockChain,3,3,9873214562,Sr.softwareEngineer
Tracy Stewart,00441X744,N,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Project Manager,SAP.BASIS,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D68351,United States of America,BlockChain,4,4,9653214895,Sr.softwareEngineer
Andrea Berger,00929G744,N,1/1/2020,40,India,Oracle JDE RICE TAC A25,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Technical Assistant,Technincal Requirement,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D69708,United States of America,BlockChain,5,5,9863214567,Jr.softwareEngineer
Heather Price,00618R744,Y,2/1/2020,40,India,SAP BI TAC A26,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Application Developer,SAP.FIN.FI,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628702,India,BlockChain,6,1,9654781234,Jr.softwareEngineer
Virginia Martin,00368D744,Y,3/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Test Specialist,SAP.BOBJ,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D71065,United States of America,BlockChain,1,2,9576152312,Sr.softwareEngineer
Pamela Brown,00309N744,Y,4/1/2020,40,India,Oracle JDE RICE TAC A26,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Packaged Application,SAP.ABAP,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D72422,United States of America,BlockChain,2,3,9873214562,Sr.softwareEngineer
Brandon Thomas,00916G744,N,5/1/2020,40,India,SAP BI TAC A27,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Project Manager,JDE,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628703,India,BlockChain,3,4,9653214895,Jr.softwareEngineer
Jay Grant,00975H744,Y,6/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Technical Assistant,Java.core,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D73779,United States of America,Automation,4,5,9863214567,Jr.softwareEngineer
Tracy Carpenter,00191J744,N,31-12-2018,40,India,Oracle JDE RICE TAC A27,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Application Developer,Custom Application,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D75136,United States of America,Automation,5,1,9654781234,Sr.softwareEngineer
Jordan Cooper,00278K744,Y,1/1/2020,40,India,SAP BI TAC A28,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Test Specialist,SAP.ABAP,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628704,India,Automation,6,2,9576152312,Sr.softwareEngineer
Scott Gonzales,00725Y744,Y,30-07-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Packaged Application,COBOL,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D76493,United States of America,Automation,1,3,9873214562,Jr.softwareEngineer
Luis Curry,00218U744,N,31-12-2018,40,India,Oracle JDE RICE TAC A28,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Project Manager,Application Maintenance & Support,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D77850,United States of America,Automation,2,4,9653214895,Jr.softwareEngineer
Robin Lopez,00478W744,N,1/1/2020,40,India,SAP BI TAC A29,"ARORA, K",No Value Available,niti2014@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Technical Assistant,Java.Spring & Hibernate,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628705,India,Automation,3,5,9863214567,Sr.softwareEngineer
Michelle Short,00813O744,N,2/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,lovlee12@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Application Developer,c#.NET,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D79207,United States of America,Automation,4,1,9654781234,Sr.softwareEngineer
James Brown,00978N744,Y,3/1/2020,40,India,Oracle JDE RICE TAC A29,"PADHI, NR",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Test Specialist,Test Automation,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D80564,United States of America,Automation,5,2,9576152312,Jr.softwareEngineer
Samantha Kennedy,00803U744,Y,4/1/2020,40,India,SAP BI TAC A30,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Packaged Application,Oracle Database,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628706,India,Automation,6,3,9873214562,Jr.softwareEngineer
Dalton Khan,00268L744,Y,5/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Project Manager,Custom Development,GURGAON,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D81921,United States of America,Automation,1,4,9653214895,Sr.softwareEngineer
Dylan Mooney,00113K744,N,6/1/2020,40,India,Oracle JDE RICE TAC A30,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Technical Assistant,Oracle Database,BANGALORE,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D83278,United States of America,Automation,2,5,9863214567,Sr.softwareEngineer
Paul Archer,00423E744,N,31-12-2018,40,India,SAP BI TAC A31,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,30-01-2016,31-12-1999,Y,Application Developer,Oracle Application,NOIDA,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628707,India,Automation,3,1,9654781234,Jr.softwareEngineer
Andrew Curtis,00721K744,Y,1/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,6/6/2015,31-12-1999,Y,Test Specialist,SAP.SCM.SD,GURGAON,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D84635,United States of America,Automation,4,2,9576152312,Jr.softwareEngineer
Patrick Cooke,00506S744,Y,30-07-2018,40,India,Oracle JDE RICE TAC A31,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,25-11-2017,31-12-1999,Y,Packaged Application,SAP.BASIS,BANGALORE,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D85992,United States of America,Automation,5,3,9873214562,Sr.softwareEngineer
Glen Miller,00389O744,N,31-12-2018,40,India,SAP BI TAC A32,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Project Manager,Technincal Requirement,NOIDA,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628708,India,Automation,6,4,9653214895,Sr.softwareEngineer
Vickie West,00645B744,Y,1/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Technical Assistant,SAP.FIN.FI,GURGAON,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D87349,United States of America,Automation,1,5,9863214567,Jr.softwareEngineer
Patrick Greene,00149I744,Y,2/1/2020,40,India,Oracle JDE RICE TAC A32,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Application Developer,SAP.FIN.FI,BANGALORE,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D88706,United States of America,Automation,2,1,9654781234,Jr.softwareEngineer
Patrick Mcconnell,00261A744,Y,3/1/2020,40,India,SAP BI TAC A33,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Test Specialist,SAP.FIN.FI,NOIDA,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628709,India,Automation,3,2,9576152312,Sr.softwareEngineer
Lindsey Stevenson,00610G744,Y,4/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Packaged Application,SAP.FIN.FI,GURGAON,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D90063,United States of America,Automation,4,3,9873214562,Sr.softwareEngineer
Barbara Kim,00786Y744,N,5/1/2020,40,India,Oracle JDE RICE TAC A33,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Project Manager,SAP.FIN.FI,BANGALORE,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D91420,United States of America,Automation,5,4,9653214895,Jr.softwareEngineer
Jason Martinez,00532B744,Y,6/1/2020,40,India,SAP BI TAC A34,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Technical Assistant,SAP.FIN.FI,NOIDA,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628710,India,Automation,6,5,9863214567,Jr.softwareEngineer
James Kelly,00329U744,Y,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Application Developer,SAP.FIN.FI,GURGAON,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D92777,United States of America,Automation,4,4,9654781234,Sr.softwareEngineer
